X1	X2	TARGET	Y1	
+2.500000	+1.100000	+0.000000	+0.007158	
-1.800000	-2.700000	+0.000000	+0.007262	
-2.500000	-1.300000	+0.000000	+0.007206	
-1.700000	+1.500000	+0.000000	+0.006968	
+1.200000	-0.400000	+0.000000	+0.007313	
-2.300000	-0.800000	+0.000000	+0.007145	
+1.300000	-1.500000	+0.000000	+0.007376	
-1.900000	+0.000000	+0.000000	+0.007108	
+1.300000	-0.600000	+0.000000	+0.007335	
+0.600000	-0.200000	+0.000000	+0.007299	
-3.000000	-0.300000	+0.000000	+0.007204	
-1.700000	+2.700000	+0.000000	+0.006991	
+0.400000	-2.100000	+0.000000	+0.007389	
+0.600000	-3.000000	+0.000000	+0.007389	
-3.000000	+0.700000	+0.000000	+0.007128	
-2.000000	-1.700000	+0.000000	+0.007208	
+0.200000	-0.700000	+0.000000	+0.007241	
+0.700000	+0.400000	+1.000000	+0.992893	
+1.400000	+2.400000	+0.000000	+0.007143	
-1.400000	+2.400000	+0.000000	+0.006997	
-1.200000	+0.600000	+1.000000	+0.992692	
-1.700000	-2.500000	+0.000000	+0.007259	
+0.200000	+0.200000	+1.000000	+0.993036	
-1.700000	-0.300000	+0.000000	+0.007094	
+0.000000	-2.400000	+0.000000	+0.007237	
-0.700000	-1.900000	+0.000000	+0.007231	
+2.800000	-3.000000	+0.000000	+0.007426	
+0.000000	+2.200000	+1.000000	+0.992829	
-2.900000	-1.700000	+0.000000	+0.007296	
-1.200000	-2.400000	+0.000000	+0.007266	
-1.400000	+1.100000	+1.000000	+0.992654	
+1.400000	+1.000000	+1.000000	+0.992878	
-2.000000	-1.500000	+0.000000	+0.007185	
-2.300000	+1.200000	+0.000000	+0.006997	
+1.200000	+2.500000	+0.000000	+0.007158	
-1.600000	-2.000000	+0.000000	+0.007224	
+2.000000	-1.700000	+0.000000	+0.007433	
+0.200000	-0.500000	+0.000000	+0.007229	
+0.500000	-0.900000	+0.000000	+0.007308	
+1.300000	-2.200000	+0.000000	+0.007448	
-1.700000	-2.700000	+0.000000	+0.007266	
-1.600000	-2.800000	+0.000000	+0.007267	
-2.200000	-0.400000	+0.000000	+0.007121	
-2.600000	-0.100000	+0.000000	+0.007162	
+2.600000	-2.400000	+0.000000	+0.007456	
+1.300000	-0.400000	+0.000000	+0.007323	
+2.700000	+2.000000	+0.000000	+0.007172	
-3.000000	-2.200000	+0.000000	+0.007346	
-2.700000	-2.200000	+0.000000	+0.007319	
+1.300000	+0.100000	+1.000000	+0.992904	
+2.900000	-1.000000	+0.000000	+0.007374	
+2.800000	-1.400000	+0.000000	+0.007392	
-2.500000	-0.200000	+0.000000	+0.007149	
+2.800000	+1.100000	+0.000000	+0.007173	
+0.800000	+1.700000	+1.000000	+0.992784	
-0.300000	+1.100000	+1.000000	+0.992736	
+2.900000	-2.700000	+0.000000	+0.007412	
-2.600000	-0.800000	+0.000000	+0.007177	
+1.000000	-2.400000	+0.000000	+0.007435	
-2.400000	+0.500000	+1.000000	+0.992683	
-2.100000	-2.300000	+0.000000	+0.007267	
+1.900000	+0.700000	+1.000000	+0.992888	
-0.400000	+0.900000	+1.000000	+0.992725	
+2.200000	-2.700000	+0.000000	+0.007451	
-1.500000	-2.400000	+0.000000	+0.007253	
+0.500000	+2.100000	+1.000000	+0.992864	
+1.200000	+1.300000	+1.000000	+0.992837	
+2.200000	+2.900000	+0.000000	+0.007158	
+0.100000	-2.900000	+0.000000	+0.007270	
-2.200000	-0.800000	+0.000000	+0.007138	
-1.700000	+2.800000	+0.000000	+0.006990	
-2.900000	+0.000000	+0.000000	+0.007189	
-1.500000	+0.300000	+1.000000	+0.992690	
+1.700000	-0.100000	+0.000000	+0.007332	
-2.400000	-1.300000	+0.000000	+0.007200	
-1.200000	-1.900000	+0.000000	+0.007236	
-0.500000	-2.000000	+0.000000	+0.007139	
+1.300000	+0.200000	+1.000000	+0.992905	
-0.400000	+1.200000	+1.000000	+0.992706	
+0.900000	-3.000000	+0.000000	+0.007400	
-0.100000	+2.100000	+1.000000	+0.992756	
+0.500000	+0.900000	+1.000000	+0.992956	
-2.800000	+2.900000	+0.000000	+0.007089	
-2.100000	+2.000000	+0.000000	+0.007013	
-2.400000	+1.200000	+0.000000	+0.007000	
-2.300000	+2.200000	+0.000000	+0.007034	
+1.200000	+1.200000	+1.000000	+0.992851	
-3.000000	+1.400000	+0.000000	+0.007072	
-2.700000	-0.600000	+0.000000	+0.007171	
-0.700000	-1.900000	+0.000000	+0.007235	
-1.400000	+0.500000	+1.000000	+0.992690	
-2.700000	+1.200000	+0.000000	+0.007031	
-0.900000	-1.100000	+0.000000	+0.007180	
+0.200000	-0.600000	+0.000000	+0.007234	
+2.700000	+2.500000	+0.000000	+0.007172	
+1.400000	+0.900000	+1.000000	+0.992882	
-1.100000	+0.500000	+1.000000	+0.992696	
+0.600000	-1.000000	+0.000000	+0.007324	
-1.700000	-0.700000	+0.000000	+0.007113	
-0.900000	+0.700000	+1.000000	+0.992713	
-2.500000	-1.200000	+0.000000	+0.007202	
+2.100000	+0.600000	+1.000000	+0.992880	
-1.700000	-2.600000	+0.000000	+0.007264	
+0.100000	+2.100000	+1.000000	+0.992891	
+0.200000	+0.600000	+1.000000	+0.993025	
-2.800000	+1.900000	+0.000000	+0.007087	
-2.500000	-0.700000	+0.000000	+0.007161	
-0.200000	+2.100000	+1.000000	+0.992707	
+2.700000	-2.100000	+0.000000	+0.007456	
+1.400000	+0.800000	+1.000000	+0.992885	
+2.200000	-2.600000	+0.000000	+0.007450	
+0.100000	-0.800000	+0.000000	+0.007199	
+0.600000	-2.600000	+0.000000	+0.007394	
-0.400000	+2.400000	+1.000000	+0.992657	
-0.200000	-2.300000	+0.000000	+0.007109	
-2.700000	-2.100000	+0.000000	+0.007314	
-0.200000	-3.000000	+0.000000	+0.007090	
+0.500000	+2.700000	+0.000000	+0.007126	
+1.900000	-0.900000	+0.000000	+0.007360	
+1.400000	+1.200000	+1.000000	+0.992859	
+0.600000	+0.400000	+1.000000	+0.992926	
-2.600000	-2.200000	+0.000000	+0.007305	
+1.500000	-1.100000	+0.000000	+0.007360	
+0.000000	-2.000000	+0.000000	+0.007227	
+2.200000	-2.300000	+0.000000	+0.007454	
-2.900000	-1.500000	+0.000000	+0.007277	
+0.600000	-1.700000	+0.000000	+0.007386	
+2.400000	+1.800000	+0.000000	+0.007150	
-2.500000	-1.200000	+0.000000	+0.007193	
+0.200000	+1.700000	+1.000000	+0.992958	
+0.700000	-2.900000	+0.000000	+0.007403	
+2.000000	+1.300000	+0.000000	+0.007168	
-2.600000	-2.600000	+0.000000	+0.007335	
-2.400000	+0.300000	+1.000000	+0.992695	
+1.400000	+0.500000	+1.000000	+0.992906	
-1.500000	-0.200000	+0.000000	+0.007101	
+2.000000	-2.800000	+0.000000	+0.007440	
-0.600000	+0.800000	+1.000000	+0.992707	
+0.000000	-1.800000	+0.000000	+0.007222	
-2.500000	+0.400000	+1.000000	+0.992683	
+0.200000	+0.900000	+1.000000	+0.993013	
+0.000000	+1.800000	+1.000000	+0.992831	
-2.000000	+0.600000	+1.000000	+0.992680	
+0.200000	-0.900000	+0.000000	+0.007254	
+0.800000	-1.100000	+0.000000	+0.007357	
+2.000000	+2.200000	+0.000000	+0.007176	
+0.800000	-0.100000	+0.000000	+0.007302	
+2.700000	+0.300000	+0.000000	+0.007332	
-2.400000	-1.900000	+0.000000	+0.007260	
-1.500000	-0.600000	+0.000000	+0.007110	
-2.800000	+1.900000	+0.000000	+0.007075	
-2.700000	-0.300000	+0.000000	+0.007172	
-0.900000	+0.100000	+1.000000	+0.992704	
-3.000000	-0.700000	+0.000000	+0.007210	
-0.300000	+0.100000	+1.000000	+0.992768	
-2.400000	+0.400000	+1.000000	+0.992686	
-0.400000	-0.500000	+0.000000	+0.006984	
+0.900000	+0.100000	+1.000000	+0.992871	
+0.500000	+1.500000	+1.000000	+0.992906	
+2.600000	+0.600000	+0.000000	+0.007266	
+1.800000	+1.200000	+0.000000	+0.007154	
-1.700000	-1.200000	+0.000000	+0.007141	
+2.500000	+2.300000	+0.000000	+0.007176	
+0.500000	+1.600000	+1.000000	+0.992907	
+2.700000	-0.800000	+0.000000	+0.007345	
+1.500000	-0.200000	+0.000000	+0.007330	
-0.400000	-2.500000	+0.000000	+0.007118	
-2.400000	-2.600000	+0.000000	+0.007320	
-3.000000	+2.900000	+0.000000	+0.007105	
+2.500000	-2.600000	+0.000000	+0.007450	
+1.400000	+1.000000	+1.000000	+0.992871	
-1.800000	-2.600000	+0.000000	+0.007271	
-1.500000	+2.500000	+0.000000	+0.006998	
-0.400000	-2.400000	+0.000000	+0.007107	
-2.500000	+2.800000	+0.000000	+0.007062	
+1.100000	+2.000000	+0.000000	+0.007158	
+0.800000	+1.300000	+1.000000	+0.992824	
+0.400000	+0.700000	+1.000000	+0.993021	
-1.000000	-3.000000	+0.000000	+0.007294	
+0.500000	-0.900000	+0.000000	+0.007313	
-2.800000	-1.100000	+0.000000	+0.007221	
+0.400000	+0.300000	+1.000000	+0.993035	
+0.800000	+2.600000	+0.000000	+0.007149	
-0.600000	+0.600000	+1.000000	+0.992721	
-2.800000	-2.300000	+0.000000	+0.007339	
-1.200000	+1.200000	+1.000000	+0.992647	
-1.100000	+2.800000	+0.000000	+0.007015	
+1.500000	-2.600000	+0.000000	+0.007444	
-1.200000	-1.600000	+0.000000	+0.007206	
+0.800000	-0.800000	+0.000000	+0.007333	
+2.600000	+1.800000	+0.000000	+0.007179	
-2.300000	+1.000000	+0.000000	+0.006994	
+0.000000	+1.500000	+1.000000	+0.992846	
-0.300000	-0.600000	+0.000000	+0.006977	
+2.000000	+1.100000	+0.000000	+0.007172	
-1.000000	+0.700000	+1.000000	+0.992692	
-0.800000	-2.400000	+0.000000	+0.007286	
+0.400000	+2.300000	+1.000000	+0.992915	
+0.800000	-1.000000	+0.000000	+0.007334	
-2.200000	+1.400000	+0.000000	+0.006999	
-2.800000	-0.900000	+0.000000	+0.007204	
-1.700000	+1.400000	+0.000000	+0.006964	
+0.200000	-1.800000	+0.000000	+0.007322	
-2.200000	+2.200000	+0.000000	+0.007028	
+2.600000	-0.300000	+0.000000	+0.007334	
+2.500000	+2.200000	+0.000000	+0.007169	
+0.700000	-1.500000	+0.000000	+0.007371	
+1.800000	-2.900000	+0.000000	+0.007435	
+1.700000	-1.200000	+0.000000	+0.007378	
+2.800000	-2.900000	+0.000000	+0.007439	
-2.500000	-2.600000	+0.000000	+0.007327	
+1.800000	-2.400000	+0.000000	+0.007457	
-1.100000	+1.000000	+1.000000	+0.992668	
-1.800000	-3.000000	+0.000000	+0.007273	
-2.900000	-0.900000	+0.000000	+0.007210	
+2.700000	-2.500000	+0.000000	+0.007456	
+1.700000	-1.400000	+0.000000	+0.007405	
